time_s,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.1527876853942871,0.006,0.033,1.034,-0.72,-0.31,-2.0
1.084538221359253,-0.006,0.029,1.027,-0.85,0.25,-1.93
2.085610866546631,-0.012,0.027,1.041,-0.66,0.35,-1.82
3.086796522140503,-0.008,0.037,1.035,-0.65,0.63,-2.22
4.087799787521362,-0.004,0.029,1.036,-0.68,0.01,-2.03
5.088884592056274,-0.011,0.025,1.036,-0.67,0.38,-2.22
6.0899882316589355,-0.013,0.016,1.04,-0.77,0.44,-1.75
7.091106414794922,-0.009,0.036,1.043,-0.69,0.3,-2.05
8.092112064361572,-0.012,0.025,1.038,-0.57,0.25,-1.98
9.093110799789429,-0.009,0.027,1.038,-0.63,0.4,-2.02
10.094216108322144,-0.008,0.02,1.033,-0.46,0.3,-2.0
11.096076488494873,-0.001,0.027,1.039,-0.6,0.58,-1.9
12.096667766571045,-0.009,0.027,1.039,-0.37,0.52,-2.06
13.097533226013184,-0.012,0.026,1.04,-0.71,0.15,-1.95
14.098708629608154,-0.011,0.025,1.032,-0.56,0.43,-1.94
15.099653959274292,-0.006,0.022,1.041,-0.54,0.67,-2.08
16.1007297039032,-0.012,0.019,1.037,-0.72,0.52,-1.9
17.10201621055603,-0.008,0.026,1.037,-0.92,0.37,-2.09
18.10338854789734,-0.005,0.022,1.038,-0.78,0.29,-1.98
19.104459285736084,-0.047,0.147,1.085,46.41,-26.51,-8.07
20.105299711227417,0.063,0.439,0.931,16.56,-5.01,-1.79
21.106427907943726,0.052,0.586,0.81,-12.34,-3.44,-1.66
22.10718536376953,0.459,0.248,0.951,-6.21,-1.18,7.04
23.108331203460693,0.278,0.064,1.086,-9.2,68.77,23.8
24.109481811523438,0.032,0.114,1.095,9.0,-5.13,0.62
25.11044454574585,-0.035,0.04,1.049,-0.92,0.95,9.85
26.111785888671875,-0.027,0.021,1.038,2.86,0.08,-77.44
27.112576007843018,-0.001,0.027,1.033,-1.57,0.22,13.35
